,name,address,Telephone,Website
1,bluQube,"""The Old Brewery, 9-11, Lodway,  Bristol, BS20 0DH""",0845 644 7788 ,HTTP://WWW.BLUQUBE.CO.UK
2,bluQube,"""The Old Brewery, 9-11, Lodway,  Bristol, BS20 0DH""",0845 644 7788 ,HTTP://WWW.BLUQUBE.CO.UK
3,IT Managed Solution,"""Regus Churchill Court, 3, Manor Royal,  Crawley, RH10 9LU""",01293 301923 ,https://www.itmanagedsolution.co.uk/
4,Pelican Computing,"""103 Glisson Rd,  Cambridge, CB1 2HQ""",01223 329046 ,http://www.pelicancomputing.com
5,Intuitive Solution,"""4 Sulfolk Rd,  Lowestoft, NR32 1DZ""",01502 587613 ,http://www.intuitivesolution.net
6,Ryland Technology Ltd,"""2 Newmans Row Lincolns Inn, Lincoln Rd,  High Wycombe, HP12 3RE""",01494 415037 ,http://www.ryltech.com
7,Edgoose Clubley Computer Services,"""10 Kerr Crescent,  Stockton-On-Tees, TS21 2EG""",01740 622420 ,https://www.ssoftware.co.uk
8,Techpoint Computer Shop (Kenilworth),"""82 Warwick Rd,  Kenilworth, CV8 1HL""",01926 735940 ,http://www.techpoint.biz/
9,Computer Help,"""12 Orient St,  Salford, M7 4TB""",0161 792 7683 ,https://computer-hlp.business.site
10,A N Computer Services,"""5 Aspen Walk,  Brough, HU15 1TB""",07542 649066 ,http://www.ancomputerservices.biz
11,Kettering Laptops,"""37 Victoria St,  Kettering, NN16 0BU""",01536 213551 ,http://www.ketteringlaptops.co
12,Network Ltd,"""Highdown House, 11, Highdown Rd,  Leamington Spa, CV31 1XT""",01926 353672 ,https://networkltd.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
13,Act Computers,"""104 Hampton Dene Rd,  Hereford, HR1 1UJ""",07970 608198 ,No Website Found!
14,Supersys I.t Services,"""1-3 Tithe Barn St,  Wakefield, WF4 6HN""",01924 950700 ,http://www.supersys.net
15,Computer S.O.S,"""11 Pinfold Lane,  Melton Mowbray, LE14 4BU""",01949 480816 ,https://www.compsos.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell
16,The Computer Guy,"""13 Airy Hill,  Filey, YO14 9QQ, North Yorkshire""",01723 518449 ,http://www.tcgfiley.co.uk
17,Andy's Computers,"""6 Mortimore Close,  Saltash, PL12 4LH""",1752535008,https://www.andyscomputersplymouth.co.uk
18,RIDEA Technology,"""7 Dial Close,  Bognor Regis, PO22 0JU""",01243 212641 ,http://www.ridea.co.uk
19,Micro Check Computer Supplies,"""The Showroom St Johns Service Stati, Longforth Rd,  Wellington, TA21 8RQ""",01823 664943 ,http://www.micro-check.co.uk
20,Computer Problems Solved Ltd,"""68 Orchardlea,  Southampton, SO32 2QZ""",01489 890738 ,https://www.cps-ltd.org.uk/
21,Blueberry Consultants Ltd,"""The Bond, 180-182, Fazeley St,  Birmingham, B5 5SE""",0121 285 0100 ,http://www.bbconsult.co.uk
22,Weald Computer Systems Ltd,"""64b Hythe St,  Dartford, DA1 1BX""",01622 891078 ,https://www.wealdcomputersystems.co.uk/?utm_source=yell&utm_medium=referral&utm_campaign=yell
23,Insomnia I.T Systems,"""3 Kinder Rd,  Chesterfield, S43 3HR""",01246 477384 ,http://www.insomnia-it.co.uk
24,Computer Centre,"""145 Front St,  Chester Le Street, DH3 3AU""",0191 300 3652 ,http://www.necomputercentre.co.uk
25,Profile Technical Support,"""50 The Mount,  Wakefield, WF2 0BY""",01924 566934 ,http://www.profiletechsupport.co.uk
26,Allayit,"""15 Freuchie Mill,  Cupar, KY15 7JL""",01337 858826 ,No Website Found!
27,computercare.co.uk,[],01757 601189 ,https://computercare.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
28,One Stop Computers (Stoke) Ltd,"""173-175 London Rd,  Stoke-On-Trent, ST4 5RW""",01782 847208 ,http://www.onestopcomputers.co.uk
29,Database Solutions Ltd,"""27 Garratt Way,  Doncaster, DN8 5EW""",07397 518139 ,https://www.databasesolutionsltd.com/
30,The P C Expert,"""55 Craigdarragh Rd,  Bangor, BT19 1UB""",07719 922149 ,http://www.thepcexpert.org
31,G & R Computers,"""6 The Minories, Henley St,  Stratford-Upon-Avon, CV37 6NF""",01789 299901 ,http://www.grcomputers.com
32,Morley Computer Sales and Repairs,"""1 Perry Square,  Leeds, LS27 0FY""",07425 085186 ,https://morleycomputersalesandrepairs.co.uk
33,CADS Ltd,[],01543 756110 ,https://www.cadsnet.co.uk
34,Burgess Computer Services Ltd,"""40 Mereside,  Ely, CB7 5XE""",01353 722217 ,http://www.burgesscomputers.co.uk
35,Danntec Computer & Laptop Repair Newcastle,"""Newcastle Enterprise Centre, i4, Albion Row,  Newcastle Upon Tyne, NE6 1LL""",0800 112 3367 ,https://danntec.co.uk
36,Riverside Computers,"""Unit 11, Riverside Ind Est, South St,  Rochford, SS4 1BS""",01702 540808 ,http://www.riverside-computers.co.uk
37,Micro Tec Services,"""54 Old Rd,  Norwich, NR13 3QN""",01493 751034 ,http://www.micro-tec.co.uk
38,19 Computing,"""Unit 4, Terminus Ind Est, Durham St,  Portsmouth, PO1 1NR""",023 9273 3174 ,http://www.19computing.co.uk
39,B C S Computers,"""Woodland Business Park Woodland Rd,  Torquay, TQ2 7AT""",01803 222567 ,http://www.bcs-computers.ltd.uk
40,Coywood Computers,"""3 Somerset Terrace,  Scarborough, YO11 2PA""",01723 377077 ,http://www.coywood.co.uk
41,Denton Retailer Systems Ltd,"""34 Bullpit Rd,  Newark, NG24 3LY""",01636 918623 ,http://www.dentonsystems.co.uk
42,"TCR Computers (Ashford, Kent)","""6 Manor House Drive,  Ashford, TN23 3LP""",07956 384604 ,http://www.tcrcomputers.co.uk
43,The IT Dept,"""Oak House 317 Golden Hill Lane,  Leyland, PR25 2YJ""",01257 429216 ,https://www.theitdept.co.uk?utm_source=yell&utm_medium=referral&utm_campaign=yell
44,Key 2 Communications,"""45 Stoneclose Avenue,  Doncaster, DN4 0BB""",07463 757369 ,http://www.key2com.co.uk
45,Woodgate Computers,"""70 Woodgate,  Leicester, LE3 5GG""",0116 262 3999 ,http://www.woodgatecomputers.com
46,Digital Concierge,"""26 York St,  London, W1U 6PZ""",0871 288 7575 ,No Website Found!
47,Candover Park Solutions,"""5 Chapel Close,  Basingstoke, RG25 2AB""",01256 807876 ,No Website Found!
48,IT Enterprise,"""207 Regent St,  London, W1B 3HH""",020 7127 4304 ,http://www.itenterprise.co.uk
49,Access Computers & Software,"""Princess House, 78, Princess St,  Burntwood, WS7 1JH""",01543 272588 ,http://www.accesscomputers.com
50,Chris Taylor,"""6 Pine Avenue,  West Wickham, BR4 0LW""",020 8289 3444 ,http://www.ctcomputerservices.co.uk
51,IT Manager Services Ltd,"""21 Larch End,  Sheerness, ME12 3FJ""",01795 342362 ,https://www.itmanager.io?utm_source=yell&utm_medium=referral&utm_campaign=yell
52,Amy Computer Boost,"""The Old School Top Rd,  Doncaster, DN3 1DB""",01302 887019 ,http://www.amyboost.co.uk
53,Emscom,"""Unit 11a, Wren Centre, Westbourne Rd,  Emsworth, PO10 7SU""",01243 887757 ,http://www.emscom.co.uk/
